iter	Passed	Remaining
0	7	1412
1	13	1307
2	19	1260
3	25	1248
4	31	1229
5	37	1207
6	43	1200
7	49	1182
8	55	1180
9	61	1174
10	67	1158
11	73	1149
12	79	1141
13	85	1135
14	91	1129
15	97	1125
16	103	1119
17	109	1110
18	115	1104
19	121	1096
20	128	1091
21	134	1087
22	140	1082
23	146	1075
24	152	1069
25	158	1063
26	165	1060
27	171	1055
28	177	1049
29	183	1041
30	189	1033
31	195	1027
32	201	1020
33	207	1014
34	213	1007
35	219	999
36	225	993
37	231	986
38	237	979
39	243	972
40	248	965
41	254	958
42	260	952
43	267	946
44	273	940
45	279	934
46	285	928
47	291	921
48	297	915
49	303	909
50	309	903
51	316	899
52	322	893
53	327	886
54	333	880
55	339	873
56	346	868
57	352	861
58	357	855
59	363	849
60	369	842
61	375	836
62	381	829
63	387	823
64	393	817
65	400	812
66	405	805
67	412	800
68	418	794
69	424	787
70	430	782
71	436	775
72	442	769
73	448	763
74	454	757
75	460	751
76	466	745
77	472	738
78	478	733
79	484	726
80	490	719
81	496	714
82	502	708
83	508	702
84	515	696
85	521	690
86	527	684
87	533	678
88	539	672
89	545	666
90	551	660
91	557	654
92	563	648
93	569	642
94	575	636
95	581	629
96	587	623
97	593	617
98	598	610
99	604	604
100	610	597
101	615	591
102	622	585
103	628	580
104	634	574
105	640	568
106	646	561
107	652	555
108	658	549
109	664	543
110	671	538
111	677	532
112	683	525
113	689	519
114	695	513
115	700	507
116	706	501
117	712	495
118	718	488
119	723	482
120	730	476
121	735	470
122	742	464
123	748	458
124	754	452
125	760	446
126	766	440
127	772	434
128	778	428
129	784	422
130	790	416
131	796	410
132	802	404
133	808	398
134	814	392
135	820	386
136	825	379
137	831	373
138	838	367
139	844	361
140	850	355
141	856	349
142	862	343
143	868	337
144	874	331
145	881	325
146	886	319
147	892	313
148	898	307
149	904	301
150	910	295
151	916	289
152	922	283
153	928	277
154	934	271
155	940	265
156	946	259
157	952	253
158	958	247
159	964	241
160	970	235
161	976	229
162	982	223
163	988	217
164	994	211
165	1000	204
166	1006	198
167	1012	192
168	1018	186
169	1024	180
170	1031	174
171	1037	168
172	1043	162
173	1049	156
174	1055	150
175	1061	144
176	1067	138
177	1073	132
178	1079	126
179	1086	120
180	1092	114
181	1098	108
182	1104	102
183	1110	96
184	1116	90
185	1122	84
186	1128	78
187	1135	72
188	1141	66
189	1147	60
190	1153	54
191	1159	48
192	1165	42
193	1171	36
194	1177	30
195	1184	24
196	1190	18
197	1196	12
198	1202	6
199	1208	0
