symbol,name
2POINTZERO.AD,Two Point Zero Group PJSC
ABNIC.AD,Al Buhaira National Insurance Company
ADAVIATION.AD,Abu Dhabi Aviation Co.
ADCB.AD,Abu Dhabi Commercial Bank
ADIB.AD,Abu Dhabi Islamic Bank
ADNH.AD,Abu Dhabi National Hotels Co.
ADNHC.AD,A D N H Catering plc
ADNIC.AD,Abu Dhabi National Insurance Company
ADNOCDIST.AD,Abu Dhabi National Oil Company For Distribution
ADNOCDRILL.AD,ADNOC Drilling Company PJSC
ADNOCGAS.AD,ADNOC Gas plc
ADNOCLS.AD,ADNOC Logistics & Services plc
ADPORTS.AD,Abu Dhabi Ports Company PJSC
ADSB.AD,Abu Dhabi Ship Building Co.
AGILITY.AD,Agility Global PLC
AGIX.AD,KraneShares Artificial Intelligence & Technology ETF
AGTHIA.AD,AGTHIA Group
AIPOWR.AD,"Boreas S&P AI Data, Power & Infrastructure UCITS ETF - AED (Dist) AED"
ALDAR.AD,Al Dar Properties
ALEFEDT.AD,Alef Education Holding plc
ALPHADATA.AD,Alpha Data PJSC
ALPHADHABI.AD,Alpha Dhabi Holding PJSC
AMR.AD,Americana Restaurants International PLC
ANAN.AD,ANAN INVESTMENT HOLDING P.J.S.C
APEX.AD,APEX INVESTMENT P.S.C
ARAM.AD,Aram Group
ASM.AD,Al Seer Marine Supplies & Equipment Company P.J.S.C
AWNIC.AD,Al Wathba National Insurance Co.
BILDCO.AD,Abu Dhabi National Co. for Building Materials
BONDAE.AD,Chimera JP Morgan UAE Bond UCITS ETF-Share Class-D Income
BOROUGE.AD,Borouge PLC
BOS.AD,Bank of Sharjah
BURJEEL.AD,BURJEEL HOLDINGS PLC
CHADX15.AD,Chimera FTSE ADX 15 ETF Class B Income
CHHK.AD,Chimera S&P China HK Shariah ETF - Share Class B -  Income
DANA.AD,DANA GAS PJSC
DRIVE.AD,Emirates Driving Company
E7.AD,E7 Group PJSC
EAND.AD,Emirates Telecom. Group Company (Etisalat Group) PJSC
EASYLEASE.AD,Easy Lease Motorcycle Rental PJSC
EIC.AD,Emirates Insurance Co.
EMSTEEL.AD,EMSTEEL BUILDING MATERIALS PJSC
ESG.AD,ESG EMIRATES STALLIONS GROUP P.J.S.C
ESHRAQ.AD,ESHRAQ INVESTMENTS P.J.S.C
FAB.AD,First Abu Dhabi Bank
FBI.AD,Fujairah Building Industries P.S.C
FCI.AD,Fujairah Cement Industries
FERTIGLB.AD,Fertiglobe plc
