symbol,name
AIRARABIA.DU,Air Arabia PJSC
AJMANBANK.DU,Ajman Bank PJSC
ALANSARI.DU,Al Ansari Financial Services PJSC
ALEC.DU,ALEC Holdings PJSC
ALFIRDOUS.DU,Al Firdous Holdings PJSC
ALRAMZ.DU,Al Ramz Corporation Investment & Development PJSC
ALSALAMSUDAN.DU,Al Salam Bank Sudan
AMAN.DU,Dubai Islamic Insurance & Reinsurance Co.
AMANAT.DU,Amanat Holdings PJSC
AMCREIT.DU,Al Mal Capital REIT
AMLAK.DU,Amlak Finance PJSC
ARMX.DU,Aramex PJSC
ASNIC.DU,Al Sagr National Insurance Co. PSC
BHMCAPITAL.DU,BHM Capital Financial Services P.S.C
CBD.DU,Commercial Bank of Dubai(PSC)
CHAE.DU,Chimera UCITS ICAV -Chimera S&P UAE UCITS ETF
CHAESHIN.DU,Chimera Umbrella Fund Chimera S&P UAE Shariah ETF Units B
DEWA.DU,Dubai Electricity & Water Authority PJSC
DEYAAR.DU,Deyaar Development (P.J.S.C)
DFM.DU,Dubai Financial Market (DFM) - PJSC
DIB.DU,Dubai Islamic Bank PJSC
DIC.DU,Dubai Investment (P.J.S.C)
DIN.DU,Dubai Insurance CompanyPSC
DNIR.DU,Dubai National Insurance & Reinsurance Co. (P.S.C.)
DRC.DU,Dubai Refreshment Company P.J.S.C
DSI.DU,Drake & Scull International (P J S C)
DTC.DU,Dubai Taxi Co. PJSC
DU.DU,Emirates Integrated Telecommunications Company PJSC
DUBAIRESI.DU,Dubai Residential REIT
EIBANK.DU,Emirates Investment Bank PJSC
EKTTITAB.DU,Ekttitab Holding Co. (S.A.K.)
EMAAR.DU,Emaar Properties (P.J.S.C)
EMAARDEV.DU,Emaar Development PJSC
EMIRATESNBD.DU,Emirates NBD Bank (P.J.S.C)
EMPOWER.DU,Emirates Central Cooling Systems Corporation PJSC
ERC.DU,Emirates Reem Investments PJSC
GFH.DU,GFH Financial Group BSC
GULFNAV.DU,Gulf Navigation Holding (P . J . S . C)
IFA.DU,International Financial Advisors Holding K.P.S.C.
ITHMR.DU,Ithmaar Holding BSC
MASQ.DU,Mashreqbank PSC
MAZAYA.DU,Al-Mazaya Holding Co. SAKC
MKHZN.DU,Agility Public Warehousing Co. K.S.C.
NAHO.DU,Naeem Holding Co.
NCC.DU,National Cement Company PSC
NGI.DU,National General Insurance Co (P.J.S.C)
NIH.DU,National International Co. (Holding) (K.S.C.)
ORIENT.DU,Orient Insurance PJSC
PARKIN.DU,Parkin Co. PJSC
SALAM.DU,Al Salam Bank B.S.C.
SALAMA.DU,Islamic Arab Insurance Co. (Salama)
SALIK.DU,Salik Company PJSC
SHUAA.DU,Shuaa Capital (P.S.C)
SPINNEYS.DU,Spinneys 1961 Holding plc
SUKOON.DU,Sukoon Insurance PJSC
SUKOONTAKAFL.DU,Sukoon Takaful PJSC
TAALEEM.DU,Taaleem Holdings PJSC
TABREED.DU,National Central Cooling Co. (P.S.C.) (Tabreed)
TAKAFUL_EM.DU,Takaful Emarat - Insurance (PSC)
TALABAT.DU,Talabat Holding Plc
TECOM.DU,TECOM Group PJSC
UFC.DU,United Foods Co. PSC
UNIKAI.DU,Unikai Foods PJSC
UNIONCOOP.DU,Union Coop
UPP.DU,Union Properties (P.J.S.C)
WATANIA.DU,Watania International Holding PJSC
