symbol,name,exchange,type,specs
AAF.CA,صندوق افاق,EGX,fund,mutual_fund
ABR.CA,صندوق بريق,EGX,fund,mutual_fund
ADA.CA,صندوق الاهلي دهب,EGX,fund,mutual_fund
ADM.CA,صندوق دياموند,EGX,fund,mutual_fund
AEF.CA,صندوق الفنار,EGX,fund,mutual_fund
AGO.CA,صندوق جسور,EGX,fund,mutual_fund
AIS.CA,صندوق استثمار وأمان,EGX,fund,mutual_fund
ALV.CA,صندوق AZ LV,EGX,fund,mutual_fund
ASO.CA,صندوق أزيموت فرص الشريعة,EGX,fund,mutual_fund
ATD.CA,صندوق الاهلي تميز ذو التوزيع ا...,EGX,fund,mutual_fund
AZG.CA,صندوق Azimut جولد,EGX,fund,mutual_fund
AZN.CA,صندوق ازيموت ناصر,EGX,fund,mutual_fund
AZO.CA,صندوق ازيموت فرص,EGX,fund,mutual_fund
AZS.CA,صندوق AZ ادخار,EGX,fund,mutual_fund
B35.CA,صندوق بلتون بي-35,EGX,fund,mutual_fund
B70.CA,صندوق بلتون EGX70,EGX,fund,mutual_fund
BAL.CA,صندوق بلتون للاستثمار في ...,EGX,fund,mutual_fund
BCO.CA,صندوق بلتون القطاع الاسته...,EGX,fund,mutual_fund
BFA.CA,صندوق بلتون فضة,EGX,fund,mutual_fund
BFF.CA,صندوق بنك القاهره الاول,EGX,fund,mutual_fund
BFI.CA,صندوق بلتون القطاع المالي,EGX,fund,mutual_fund
BIN.CA,صندوق بلتون القطاع الصناعي,EGX,fund,mutual_fund
BMM.CA,صندوق بلتون مية مية,EGX,fund,mutual_fund
BRE.CA,صندوق بلتون القطاع العقاري,EGX,fund,mutual_fund
BSB.CA,صندوق بلتون سبائك,EGX,fund,mutual_fund
BSC.CA,صندوق بي سكيور,EGX,fund,mutual_fund
BWA.CA,صندوق بلتون وفرة,EGX,fund,mutual_fund
C20.CA,صندوق سي آي 20HD,EGX,fund,mutual_fund
CCB.CA,صندوق سي آي استهلاكي,EGX,fund,mutual_fund
CCM.CA,صندوق كايرو كابيتال مومنتم,EGX,fund,mutual_fund
CCS.CA,صندوق كايرو كابيتال ستريم,EGX,fund,mutual_fund
CEX.CA,صندوق سي آي تصدير,EGX,fund,mutual_fund
CFF.CA,صندوق سي آي مال ومدفوعا...,EGX,fund,mutual_fund
CI30.CA,صندوق مؤشر CI EGX30,EGX,fund,mutual_fund
CIP.CA,صندوق سي آي للاكتتابات الأو...,EGX,fund,mutual_fund
CMS.CA,صندوق مؤشر CI EGX33 الشري...,EGX,fund,mutual_fund
CRE.CA,صندوق سي آي عقارات وبناء,EGX,fund,mutual_fund
CTI.CA,صندوق سي آي تكنولوجيا وات...,EGX,fund,mutual_fund
CTQ.CA,صندوق سي إي ذا كوانت,EGX,fund,mutual_fund
GRA.CA,صندوق جرانيت,EGX,fund,mutual_fund
MSI.CA,صندوق مباشر فضة,EGX,fund,mutual_fund
MTF.CA,صندوق مصر للتأمين التكافلي,EGX,fund,mutual_fund
NAM.CA,صندوق بنك الكويت الوطني ال...,EGX,fund,mutual_fund
NCS.CA,صندوق سهمي 70 ان أي كابيتال,EGX,fund,mutual_fund
NMF.CA,صندوق NM أسهم شريعة,EGX,fund,mutual_fund
PCM.CA,صندوق كاشي PFI,EGX,fund,mutual_fund
PGM.CA,جي اي جي للتأمين النقدي للسي...,EGX,fund,mutual_fund
T70.CA,صندوق ثاندر T70,EGX,fund,mutual_fund
ZEM.CA,صندوق زالدي المصري,EGX,fund,mutual_fund
ZST.CA,صندوق زالدي ستار,EGX,fund,mutual_fund
