symbol,name
AALR,General Co. for Land Reclamation Development & Reconstruction
ABUK,Abou Kir Fertilizers & Chemical Industries Co.
ACAMD,Arab Co. for Asset Management & Development
ACAP,A Capital Holding
ACFR,Alexandria Company For Refractories
ACGC,Arab Cotton Ginning Co.
ACTF,Act Financial
ADCI,Arab Pharmaceuticals
ADIB,Abu Dhabi Islamic Bank-Egypt
ADPC,Arab Dairy Products Co. Arab Dairy - Panda
ADRI,Arab Development & Real Estate Investment
AFDI,Alahly For Development & Investment
AFMC,Alexandria Flour Mills Co.
AIDC,Arabia for Investment and Development
AIFI,Atlas for Investment & Food Industries SAE
AIH,Arabia Investments Holding SAE
AJWA,Ajwa for Food Industries Co. Egypt
ALCN,Alexandria Containers & Goods
ALUM,Arab Aluminum Co. SAE
AMER,Amer Group Holding
AMES,Alexandria New Medical Center Co.
AMIA,Arab Moltaqa Investments Company
AMOC,Alexandria Mineral Oils Co.
AMPI,AL Moasher Pay for Electronic Payment and Collection (S.A.E)
ANCC,ALNAHDA Industrial Co.
ANFI,Alexandria National Co. for Financial Investment
APSW,Arab Polvara Spinning & Weaving Co.
ARAB,Arab Developers Holding
ARCC,Arabian Cement Company
AREH,Egyptian Real Estate Group
ARVA,Arab Valves Co.
ASCM,ASEC Co. for Mining
ASPI,Aspire Capital Holding for Financial Investments
ATLC,Al Tawfeek Leasing Company-A.T.LEASE
ATQA,Misr National Steel
AXPH,Alexandria Company for Pharmaceuticals and Chemical Industries
BIDI,El Badr Investment and Development - BID
BIGP,ElBarbary Investment Group
BINV,B Investments Holding SAE
BIOC,GlaxoSmithKline S.A.E.
BONY,Bonyan for Development and Trade
BTFH,Beltone Holding
CAED,Cairo Educational Services
CANA,Suez Canal Bank SAE
CCAP,QALA For Financial Investments
CCRS,Gulf Canadian Real Estate Investment Co.
CEFM,Middle Egypt Flour Mills
CERA,Arab Ceramic Co. - Ceramica Remas
CFGH,Concrete Fashion Group for Commercial and Industrial Investments S.A.E
CICH,CI Capital Holding for Financial Investments
CIEB,Credit Agricole Egypt
CIRA,Cairo For Investment And Real Estate Developments -CIRA Education
CLHO,Cleopatra Hospital Company
CNFN,Contact Financial Holding SAE
COMI,Commercial International Bank - Egypt (CIB) S.A.E.
COPR,Cooper for Commercial Investment & Real Estate Development
COSG,Cairo Oils & Soap
CPCI,Kahira Pharmaceuticals & Chemical Industries Co.
CPME,Catalyst Partners Middle East
CRST,Creast Mark For Contracting And Real Estate Development
CSAG,Canal Shipping Agencies Co.
DAPH,Development & Engineering Consultants
DCCC,Damietta Container and Cargo Handling
DEIN,Delta Insurance
DGTZ,Digitize for Investment And Technology
DOMT,Arabian Food Industries Co.
DSCW,Dice Sports & Casual Wear Manufacturers SAE
DTPP,Delta for Printing & Packaging
EALR,El Arabia for Land Reclamation
EASB,Egyptian Arabian Company for Securities Brokerage EAC
EAST,Eastern Company
EBSC,Osool ESB Securities Brokerage
