symbol,name,exchange,type,specs
4330,Riyad REIT,TADAWUL,fund,reit
4331,AlJazira REIT Fund,TADAWUL,fund,reit
4332,Jadwa REIT Al-Haramain Fund,TADAWUL,fund,reit
4333,Taleem REIT Fund,TADAWUL,fund,reit
4334,AL Maather REIT Fund,TADAWUL,fund,reit
4335,Musharaka REIT Fund,TADAWUL,fund,reit
4336,Mulkia Gulf Real Estate REIT Fund,TADAWUL,fund,reit
4337,Al Aziziah REIT Fund,TADAWUL,fund,reit
4338,AlAhli REIT Fund 1,TADAWUL,fund,reit
4339,Derayah REIT Fund,TADAWUL,fund,reit
4340,Al Rajhi REIT Fund,TADAWUL,fund,reit
4342,Jadwa REIT Saudi Fund,TADAWUL,fund,reit
4344,SEDCO Capital REIT Fund,TADAWUL,fund,reit
4345,Alinma Retail REIT Fund,TADAWUL,fund,reit
4346,MEFIC REIT Fund,TADAWUL,fund,reit
4347,Bonyan REIT Fund,TADAWUL,fund,reit
4348,Alkhabeer REIT Fund,TADAWUL,fund,reit
4349,Alinma Hospitality REIT Fund,TADAWUL,fund,reit
4350,Alistithmar AREIC Diversified REIT Fund,TADAWUL,fund,reit
4700,Al Khabeer Diversified Income Traded Fund Units,TADAWUL,fund,etf
4701,Alkhabeer Growth & Income Traded Fund Units,TADAWUL,fund,closedend
4702,Alkhabeer Diversified Income Traded Fund 2030,TADAWUL,fund,closedend
4703,SEDCO Capital Multi Asset Traded Fund Units,TADAWUL,fund,closedend
9300,Al Waha REIT Fund,TADAWUL,fund,closedend
9400,FALCOM Saudi Equity ETF,TADAWUL,fund,etf
9401,Yaqeen Petrochemical ETF,TADAWUL,fund,etf
9402,SAB Invest MSCI Tadawul 30 Saudi ETF,TADAWUL,fund,etf
9403,Albilad Saudi Sovereign Sukuk ETF,TADAWUL,fund,etf
9404,Alinma Saudi Government Sukuk ETF Fund Units,TADAWUL,fund,etf
9405,Albilad Gold ETF,TADAWUL,fund,etf
9406,Albilad MSCI Equity Traded Fund Units,TADAWUL,fund,etf
9407,Albilad MSCI US Tech ETF Units,TADAWUL,fund,etf
9408,Albilad MSCI Saudi Growth ETF Units,TADAWUL,fund,etf
9409,Yaqeen S&P ESG Mena ETF Fund,TADAWUL,fund,etf
9410,Albilad CSOP MSCI Hong Kong China Equity ETF,TADAWUL,fund,etf
9411,Hang Seng Hong Kong ETF Units,TADAWUL,fund,etf
9412,Albilad MSCI Saudi Equity ETF,TADAWUL,fund,etf
