symbol,name
1010.SR,Riyad Bank
1020.SR,AlJazira Bank
1030.SR,The Saudi Investment Bank
1050.SR,Banque Saudi Fransi
1060.SR,Saudi Awwal Bank
1080.SR,Arab National Bank
1111.SR,Saudi Tadawul Group Holding Company
1120.SR,Al Rajhi Banking and Investment Corporation
1140.SR,Bank Albilad
1150.SR,Alinma Bank
1180.SR,The Saudi National Bank
1182.SR,Amlak International Finance Company
1183.SR,SHL Finance Company
1201.SR,Takween Advanced Industries
1202.SR,Middle East Company for Manufacturing and Producing Paper
1210.SR,Basic Chemical Industries Company
1211.SR,Saudi Arabian Mining Company (Maaden)
1212.SR,Astra Industrial Group Company
1213.SR,Naseej International Trading Company
1214.SR,Al Hassan Ghazi Ibrahim Shaker Company
1301.SR,United Wire Factories Company
1302.SR,Bawan Company
1303.SR,Electrical Industries Company
1304.SR,Al Yamamah Steel Industries Company
1320.SR,Saudi Steel Pipes Company
1321.SR,East Pipes Integrated Company for Industry
1322.SR,Al Masane Al Kobra Mining Company
1323.SR,United Carton Industries Company
1810.SR,Seera Holding Group
1820.SR,BAAN Holding Group Company
1830.SR,Leejam Sports Company
1831.SR,Maharah for Human Resources Company
1832.SR,Sadr Logistics Company
1833.SR,Almawarid Manpower Company
1834.SR,Saudi Manpower Solutions Company
1835.SR,Tamkeen Human Resources Company
2001.SR,Methanol Chemicals Company
2002.SR,
2010.SR,Saudi Basic Industries Corporation
2020.SR,SABIC Agri-Nutrients Company
2030.SR,Saudi Arabian Refineries Company
2040.SR,Saudi Ceramic Company
2050.SR,Savola Group Company
2060.SR,National Industrialization Company
2070.SR,Saudi Pharmaceutical Industries and Medical Appliances Corporation
2080.SR,National Gas and Industrialization Company
2081.SR,Alkhorayef Water and Power Technologies Company
2082.SR,ACWA Power Company
2083.SR,Power and Water Utility Company for Jubail and Yanbu
2084.SR,Miahona Company Limited
2090.SR,National Gypsum Company
2100.SR,Wafrah for Industry and Development Company
2110.SR,Saudi Cable Company
2120.SR,Saudi Advanced Industries Company
2130.SR,Saudi Industrial Development Co.
2140.SR,Ayyan Investment Company
2150.SR,The National Company for Glass Industries
2160.SR,The Saudi Arabian Amiantit Company
2170.SR,Alujain Corporation
2180.SR,Filling and Packing Materials Manufacturing Company
2190.SR,Sustained Infrastructure Holding Company
2200.SR,Arabian Pipes Company
2210.SR,Nama Chemicals Company
2220.SR,National Metal Manufacturing and Casting Co.
2222.SR,Saudi Arabian Oil Company
2223.SR,Saudi Aramco Base Oil Company - Luberef
2230.SR,Saudi Chemical Holding Company
2240.SR,Advanced Building Industries Co.
2250.SR,Saudi Industrial Investment Group
2270.SR,Saudia Dairy & Foodstuff Company
2280.SR,Almarai Company
2281.SR,Tanmiah Food Company
2282.SR,Naqi Water Company
2283.SR,The First Milling Company
2284.SR,Modern Mills for Food Products 
2285.SR,Arabian Mills for Food Products
2286.SR,Fourth Milling Co.
2287.SR,Arabian Company for Agricultura
2290.SR,Yanbu National Petrochemical Company
2300.SR,Saudi Paper Manufacturing Company
2310.SR,Sahara International Petrochemical Company
2320.SR,Al-Babtain Power and Telecommunications Company
2330.SR,Advanced Petrochemical Company
2340.SR,Artex Industrial Investment Company
2350.SR,Saudi Kayan Petrochemical Company
2360.SR,Saudi Vitrified Clay Pipe Company
2370.SR,Middle East Specialized Cables Company
2380.SR,Rabigh Refining and Petrochemical Company
2381.SR,Arabian Drilling Company
2382.SR,ADES Holding Company
3001.SR,
3002.SR,Najran Cement Company
3003.SR,City Cement Company
3004.SR,Northern Region Cement Company
3005.SR,Umm Al-Qura Cement Company
3007.SR,Zahrat Al Waha For Trading Company
3008.SR,Al Kathiri Holding Company
3010.SR,Arabian Cement Company
3020.SR,YAMAMA Cement Company
3030.SR,Saudi Cement Company
3040.SR,Qassim Cement Company
3050.SR,Southern Province Cement Company
3060.SR,Yanbu Cement Company
3080.SR,Eastern Province Cement Company
3090.SR,Tabuk Cement Company
3091.SR,Al Jouf Cement Company
3092.SR,Riyadh Cement Company
4001.SR,Abdullah Al-Othaim Markets Company
4002.SR,Mouwasat Medical Services Company
4003.SR,United Electronics Company
4004.SR,Dallah Healthcare Company
4005.SR,National Medical Care Company
4006.SR,Saudi Marketing Company
4007.SR,Al Hammadi Holding Company
4008.SR,Saudi Company for Hardware SACO
4009.SR,Middle East Healthcare Company
4010.SR,
4011.SR,L'azurde Company for Jewelry
4012.SR,Thob Al Aseel Company
4013.SR,Dr. Sulaiman Al Habib Medical Services Group Company
4014.SR,Scientific and Medical Equipment House Company
4015.SR,Jamjoom Pharmaceuticals Factory Company
4016.SR,Middle East Pharmaceutical Industries Company
4017.SR,Dr. Soliman Abdel Kader Fakeeh 
4018.SR,Almoosa Health Company
4019.SR,Specialized Medical Company
4020.SR,Saudi Real Estate Company
4021.SR,Canadian General Medical Center Complex Company
4030.SR,The National Shipping Company of Saudi Arabia
4031.SR,Saudi Ground Services Company
4040.SR,Saudi Public Transport Company
4050.SR,Saudi Automotive Services Company
4051.SR,Baazeem Trading Company
4061.SR,Anaam International Holding Group Company
4070.SR,"Tihama for Advertising, Public Relations and Marketing Company"
4071.SR,Arabian Contracting Services Company
4072.SR,MBC Group Co.
4080.SR,Sinad Holding Company
4081.SR,Nayifat Finance Company
4082.SR,Morabaha Marina Financing Company
4083.SR,United International Holding Company
4084.SR,Derayah Financial Company
4090.SR,Taiba Investment Company
4100.SR,Makkah Construction and Development Company
4110.SR,Batic Investments and Logistics Company
4130.SR,Darb Saudi Investment Company
4140.SR,Saudi Industrial Export Company
4141.SR,Al-Omran Industrial Trading Company
4142.SR,Riyadh Cables Group Company
4143.SR,Al Taiseer Group TALCO Industrial Company
4144.SR,Raoom Trading Co.
4145.SR,Al Obeikan Glass Company
4146.SR,Gas Arabian Services Co.
4147.SR,Consolidated Grunenfelder Saady Holding Company
4150.SR,Arriyadh Development Co.
4160.SR,Thimar Development Holding Company
4161.SR,BinDawood Holding Company
4162.SR,Almunajem Foods Company
4163.SR,Al-Dawaa Medical Services Company
4164.SR,Nahdi Medical Company
4165.SR,Al Majed Oud Co.
4170.SR,Tourism Enterprise Company (Shams)
4180.SR,Fitaihi Holding Group
4190.SR,Jarir Marketing Company
